GEN,BL,Todesfälle,Meldedatum,Bevoelkerung,Faelle_gesamt,Faelle_7-Tage,Inzidenz_7-Tage,Infektionsrate,Letalitätsrate
Kaufbeuren,Bayern,138,2023-02-20,45118,21369,31,68.7,0.4736247174076865,0.006457953109644813
Kempten (Allgäu),Bayern,131,2023-02-20,69053,34678,45,65.2,0.5021939669529202,0.0037776111655804835
Memmingen,Bayern,44,2023-02-20,44721,21375,32,71.6,0.47796337291205476,0.0020584795321637425
Aichach-Friedberg,Bayern,181,2023-02-20,135538,67952,132,97.4,0.5013501748587113,0.0026636449258299975
Augsburg,Bayern,469,2023-02-20,257790,125725,208,80.7,0.48770316924628576,0.0037303638894412407
Dillingen a.d. Donau,Bayern,259,2023-02-20,97985,54162,165,168.4,0.5527580752155942,0.004781950444961412
Günzburg,Bayern,249,2023-02-20,128436,65157,220,171.3,0.5073110342894516,0.003821538744877757
Neu-Ulm,Bayern,306,2023-02-20,177330,81366,206,116.2,0.45883945186939606,0.0037607846029053906
Lindau (Bodensee),Bayern,147,2023-02-20,82330,39793,61,74.1,0.48333535770678976,0.0036941170557635767
Ostallgäu,Bayern,313,2023-02-20,143236,76059,131,91.5,0.5310047753358095,0.00411522633744856
Unterallgäu,Bayern,279,2023-02-20,147776,73746,101,68.3,0.49903908618449544,0.003783256041005614
Donau-Ries,Bayern,291,2023-02-20,134986,73039,250,185.2,0.5410857422251196,0.0039841728391681154
Oberallgäu,Bayern,227,2023-02-20,157202,77994,105,66.8,0.4961387259704075,0.002910480293355899
Regionalverband Saarbrücken,Saarland,948,2023-02-20,327284,151959,388,118.6,0.4643031740017844,0.006238524865259708
Merzig-Wadern,Saarland,189,2023-02-20,103426,53841,174,168.2,0.5205750971709241,0.003510335989301833
Neunkirchen,Saarland,246,2023-02-20,130847,64843,249,190.3,0.49556352075324617,0.0037937788196104436
Saarlouis,Saarland,304,2023-02-20,193661,101544,233,120.3,0.5243389221371365,0.0029937760970613725
Saarpfalz-Kreis,Saarland,221,2023-02-20,140960,69320,217,153.9,0.4917707150964813,0.003188113098672822
St. Wendel,Saarland,203,2023-02-20,86170,46125,198,229.8,0.5352790994545665,0.004401084010840109
Berlin Mitte,Berlin,431,2023-02-20,377735,157944,378,100.1,0.4181344063960184,0.002728815276300461
Berlin Friedrichshain-Kreuzberg,Berlin,237,2023-02-20,280671,122149,154,54.9,0.4352034944828643,0.0019402532972025968
Berlin Pankow,Berlin,368,2023-02-20,404795,163570,283,69.9,0.40408107807655724,0.0022498013083083693
Berlin Charlottenburg-Wilmersdorf,Berlin,482,2023-02-20,317229,112091,170,53.6,0.3533441141888037,0.004300077615508827
Berlin Spandau,Berlin,391,2023-02-20,240542,93303,165,68.6,0.3878865229357035,0.004190647674780018
Berlin Steglitz-Zehlendorf,Berlin,613,2023-02-20,292255,106516,210,71.9,0.36446254127388755,0.005755003943069586
Berlin Tempelhof-Schöneberg,Berlin,688,2023-02-20,342285,131433,275,80.3,0.383987028353565,0.005234606225225019
Berlin Neukölln,Berlin,570,2023-02-20,320204,127230,198,61.8,0.39734044546601544,0.004480075453902382
Berlin Treptow-Köpenick,Berlin,409,2023-02-20,273188,101526,196,71.7,0.37163418598181475,0.00402852471288143
Berlin Marzahn-Hellersdorf,Berlin,451,2023-02-20,274853,101846,169,61.5,0.37054716521194964,0.00442825442334505
Berlin Lichtenberg,Berlin,409,2023-02-20,293139,112400,154,52.5,0.3834358444287522,0.0036387900355871884
Berlin Reinickendorf,Berlin,468,2023-02-20,260576,94085,169,64.9,0.36106548569323343,0.004974225434447574
Brandenburg an der Havel,Brandenburg,206,2023-02-20,72461,28789,63,86.9,0.397303376989001,0.007155510785369412
Cottbus,Brandenburg,340,2023-02-20,98359,50703,91,92.5,0.515489177401153,0.006705717610397807
Frankfurt (Oder),Brandenburg,222,2023-02-20,56679,27524,50,88.2,0.4856119550450784,0.008065688126725767
Potsdam,Brandenburg,286,2023-02-20,183154,80030,822,448.8,0.43695469386417984,0.0035736598775459203
Barnim,Brandenburg,398,2023-02-20,188835,69099,107,56.7,0.3659226308682183,0.005759851806827885
Dahme-Spreewald,Brandenburg,442,2023-02-20,175834,79809,140,79.6,0.4538883264897574,0.005538222506233633
Elbe-Elster,Brandenburg,443,2023-02-20,100317,50116,60,59.8,0.4995763429927131,0.008839492377683774
Havelland,Brandenburg,345,2023-02-20,165906,62980,104,62.7,0.3796125516858944,0.005477929501429025
Märkisch-Oderland,Brandenburg,448,2023-02-20,197965,81494,156,78.8,0.41165862652489077,0.005497337227280536
Oberhavel,Brandenburg,498,2023-02-20,215795,88715,164,76.0,0.41110776431335294,0.0056134813729358055
Oberspreewald-Lausitz,Brandenburg,429,2023-02-20,107558,52716,58,53.9,0.49011696015173206,0.008137946733439563
Oder-Spree,Brandenburg,526,2023-02-20,179245,82479,125,69.7,0.46014672654746297,0.006377380909079887
Ostprignitz-Ruppin,Brandenburg,247,2023-02-20,98829,40596,43,43.5,0.410770118082749,0.006084343285052715
Potsdam-Mittelmark,Brandenburg,344,2023-02-20,219521,96416,138,62.9,0.43921082721015303,0.0035678725522734814
Prignitz,Brandenburg,256,2023-02-20,75574,36210,101,133.6,0.47913303517082595,0.007069870201601767
Spree-Neiße,Brandenburg,352,2023-02-20,111955,56523,86,76.8,0.5048724934125318,0.006227553385347558
Teltow-Fläming,Brandenburg,386,2023-02-20,172545,76762,119,69.0,0.444881045524356,0.005028529741278237
Uckermark,Brandenburg,292,2023-02-20,117336,48149,73,62.2,0.410351469284789,0.0060645080894722635
Rostock,Mecklenburg-Vorpommern,186,2023-02-20,208400,94157,105,50.4,0.4518090211132438,0.0019754240258292003
Schwerin,Mecklenburg-Vorpommern,214,2023-02-20,95740,44448,59,61.6,0.46425736369333614,0.004814614830813535
Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,321,2023-02-20,257525,93731,95,36.9,0.36396854674303464,0.0034246940713317897
Rostock,Mecklenburg-Vorpommern,369,2023-02-20,217796,99097,112,51.4,0.45499917353854064,0.003723624327678941
Vorpommern-Rügen,Mecklenburg-Vorpommern,324,2023-02-20,225900,96483,124,54.9,0.42710491367861886,0.0033581045365504805
Nordwestmecklenburg,Mecklenburg-Vorpommern,197,2023-02-20,158449,75965,151,95.3,0.4794287120777032,0.0025932995458434805
Vorpommern-Greifswald,Mecklenburg-Vorpommern,582,2023-02-20,235451,106256,151,64.1,0.4512871043231925,0.005477337750338805
Ludwigslust-Parchim,Mecklenburg-Vorpommern,558,2023-02-20,211899,98998,117,55.2,0.46719427651853007,0.005636477504596052
Chemnitz,Sachsen,913,2023-02-20,243105,107587,125,51.4,0.44255362909031076,0.00848615539052116
Erzgebirgskreis,Sachsen,1828,2023-02-20,328695,161428,131,39.9,0.49111790565722024,0.01132393389003147
Mittelsachsen,Sachsen,1068,2023-02-20,299329,140710,92,30.7,0.47008475623811924,0.00759007888565134
Vogtlandkreis,Sachsen,1386,2023-02-20,221376,109631,99,44.7,0.49522531801098585,0.01264240953744835
Zwickau,Sachsen,1636,2023-02-20,309621,145176,68,22.0,0.468882924607827,0.011269080288752962
Dresden,Sachsen,1887,2023-02-20,555351,280552,269,48.4,0.5051796071313458,0.006726025834782857
Bautzen,Sachsen,1526,2023-02-20,296290,154286,92,31.1,0.520726315434203,0.009890722424588102
Görlitz,Sachsen,1743,2023-02-20,248273,110856,89,35.8,0.4465084805838734,0.015723100238146784
Meißen,Sachsen,1047,2023-02-20,239344,118593,75,31.3,0.49549184437462396,0.00882851433052541
Sächsische Schweiz-Osterzgebirge,Sachsen,1553,2023-02-20,244009,124998,104,42.6,0.5122679901151187,0.012424198787180594
Leipzig,Sachsen,892,2023-02-20,601866,277665,527,87.6,0.46134023187885675,0.003212504276736355
Leipzig,Sachsen,582,2023-02-20,258214,127962,177,68.5,0.4955656935719984,0.0045482252543723916
Nordsachsen,Sachsen,715,2023-02-20,197529,90087,91,46.1,0.4560697416581869,0.007936772231287532
Dessau-Roßlau,Sachsen-Anhalt,232,2023-02-20,78731,34215,59,74.9,0.43458104177515844,0.006780651760923572
Halle (Saale),Sachsen-Anhalt,699,2023-02-20,238061,107891,198,83.2,0.45320737121998145,0.0064787609717214594
Magdeburg,Sachsen-Anhalt,353,2023-02-20,236188,88104,140,59.3,0.3730248784866293,0.004006628529919187
Altmarkkreis Salzwedel,Sachsen-Anhalt,173,2023-02-20,81986,38365,64,78.1,0.4679457468348255,0.004509318389156783
Anhalt-Bitterfeld,Sachsen-Anhalt,467,2023-02-20,155900,70513,104,66.7,0.4522963438101347,0.006622892232637953
Börde,Sachsen-Anhalt,236,2023-02-20,170106,75784,117,68.8,0.4455104464275217,0.0031141137971075687
Burgenlandkreis,Sachsen-Anhalt,1001,2023-02-20,176333,85527,107,60.7,0.485031162629797,0.01170390636874905
Harz,Sachsen-Anhalt,590,2023-02-20,209117,92359,100,47.8,0.4416618448045831,0.006388115938890633
Jerichower Land,Sachsen-Anhalt,241,2023-02-20,89118,39382,88,98.7,0.4419084808905047,0.006119547001168046
